Date,RBS Id,TRAFFIC PS(DL+UL)(Gbits),HSDPA Data Volume,HSUPA Data Volume,Cell Traffic Volume DL Speech (Erlang),CS CSSR,CS DROP Rate,PS Call Setup SR,PS DROP Rate 2,Availability,Soft Handover,Irat CS Handover SR,IRAT PS 2,throughput
2/17/2022,2,79.94,68.78,11.16,745.27,99.93,0.13,97.71,0.57,100,100.11,97.48,66.67,837.34
2/18/2022,2,73.52,63,10.52,726.72,99.92,0.16,98.3,0.66,100,100.15,97.29,66.67,795.84
2/19/2022,2,67.66,57.46,10.2,688.11,99.89,0.12,97.71,0.63,100,100.08,97.46,66.67,772.76
2/20/2022,2,63.6,53.11,10.5,545.52,99.9,0.13,97.78,0.66,100,100.08,96.92,66.67,753.61
2/21/2022,2,68.98,58.42,10.56,841.95,99.91,0.15,97.88,0.58,100,100.1,97.76,66.67,766.75
2/22/2022,2,75.98,64.11,11.88,827.33,99.89,0.22,97.81,0.68,100,100.07,96.83,66.67,749.5
2/23/2022,2,74.62,64.7,9.92,841.5,99.9,0.12,98.21,0.58,100,100.09,96.7,66.67,781.23
2/24/2022,2,70.52,59.72,10.8,830.01,99.91,0.13,98.24,0.56,100,100.09,97.84,66.67,728.72
2/25/2022,2,75.61,63.6,12,817.77,99.92,0.12,98.05,0.59,100,100.06,95.18,66.67,710.86
2/26/2022,2,64.78,54.7,10.08,688.96,99.91,0.1,98.21,0.65,100,100.11,97.16,66.67,706.49
2/27/2022,2,58.11,50.09,8.02,556.2,99.9,0.13,98.22,0.57,100,100.08,97.13,66.67,719.9
2/28/2022,2,58.69,50.1,8.59,784.59,99.9,0.16,97.98,0.71,100,100.13,97.59,66.67,620.85
