Date,RBS Id,TRAFFIC PS(DL+UL)(Gbits),HSDPA Data Volume,HSUPA Data Volume,Cell Traffic Volume DL Speech (Erlang),CS CSSR,CS DROP Rate,PS Call Setup SR,PS DROP Rate 2,Availability,Soft Handover,Irat CS Handover SR,IRAT PS 2,throughput
12/16/2021,2,61.54,52.78,8.75,810.27,99.9,0.16,97.66,0.78,100,100.11,94.77,66.67,755.79
12/17/2021,2,50.64,43.38,7.27,553.01,99.89,0.18,95.94,0.93,100,100.14,96.85,66.67,755.79
12/18/2021,2,57.34,49.53,7.81,534.08,99.91,0.13,97.42,0.93,100,100.16,96.89,66.67,755.79
12/19/2021,2,51.47,43.06,8.41,520.83,99.87,0.1,97.33,0.9,100,100.11,97.21,66.67,755.79
12/20/2021,2,66.02,55.92,10.1,799.15,99.91,0.13,97.94,0.7,100,100.11,97.24,66.67,755.79
12/21/2021,2,59.16,50.12,9.04,751.29,99.88,0.13,97.44,0.7,100,100.1,97.32,0,681.69
12/22/2021,2,62.81,54,8.81,763.65,99.91,0.15,97.22,0.8,100,100.13,96.38,66.67,747.84
12/23/2021,2,66.18,56.83,9.35,771.02,99.9,0.16,97.53,0.85,100,100.12,95.54,66.67,765.95
12/24/2021,2,63.77,55.39,8.38,697.25,99.91,0.12,96.91,0.75,100,100.16,97,66.67,759.44
12/25/2021,2,49.31,41.25,8.06,625.56,99.9,0.13,97.89,0.72,100,100.11,97.58,66.67,667.95
12/26/2021,2,47.29,39.68,7.6,543.09,99.93,0.14,97.23,0.74,100,100.14,97.46,66.67,662.31
12/27/2021,2,62.57,53.93,8.65,781.02,99.89,0.12,97.89,0.72,100,100.12,97.29,66.67,670.64
12/28/2021,2,78.69,67.04,11.65,732.87,99.89,0.15,97.63,0.69,100,100.17,96.13,66.67,735.71
12/29/2021,2,69.38,60.64,8.74,737.91,99.86,0.07,97.73,0.65,100,100.12,97.08,66.67,892.88
12/30/2021,2,61.17,51.81,9.36,730.76,99.8,0.11,97.34,0.75,100,100.14,97.29,66.67,681.13
12/31/2021,2,59.92,49.69,10.23,752,99.91,0.11,97.72,0.72,100,100.12,96.64,100,606.78
1/1/2022,2,56.02,47.12,8.9,534.16,99.92,0.2,97.2,0.89,100,100.11,97.19,66.67,762.63
2/1/2022,2,63.64,53.76,9.88,536.85,99.92,0.12,97.48,0.79,100,100.1,96.54,66.67,763.16
3/1/2022,2,60.58,50.46,10.12,790.97,99.92,0.14,97.92,0.72,100,100.13,97.52,66.67,675.18
4/1/2022,2,52.23,44.11,8.12,846.22,99.91,0.14,97.86,0.58,100,100.12,97.48,66.67,620.05
5/1/2022,2,61.99,53.49,8.5,808.25,99.91,0.13,98.2,0.74,100,100.12,97.42,66.67,791.05
6/1/2022,2,56.29,48.17,8.13,769.89,99.9,0.16,97.91,0.72,100,100.11,97.29,66.67,683.51
7/1/2022,2,56.75,44.86,11.89,735.43,99.91,0.07,98.06,0.72,100,100.13,96.71,66.67,538.03
8/1/2022,2,58.76,48.84,9.92,623.28,99.88,0.15,97.62,0.89,100,100.12,94.93,100,594.63
9/1/2022,2,56.89,48.94,7.95,517.72,99.92,0.16,97.47,0.82,100,100.18,97.93,66.67,707.6
10/1/2022,2,69.09,59.63,9.45,691.85,99.55,0.17,97.73,0.69,100,100.16,93.75,66.67,783.47
11/1/2022,2,62.23,53.49,8.73,735.46,99.93,0.13,97.7,0.73,100,100.16,95.74,66.67,730.42
12/1/2022,2,63.33,54.91,8.42,718.01,99.91,0.15,97.36,0.85,100,100.18,96.11,66.67,755.17
1/13/2022,2,71.61,61.22,10.39,688.98,99.92,0.16,97.67,0.78,100,100.12,97.16,66.67,766.67
1/14/2022,2,69.34,58.9,10.45,672.44,99.9,0.09,98.06,0.78,100,100.08,96.99,66.67,736.1
1/15/2022,2,67.09,57.92,9.17,566.24,99.9,0.16,97.84,0.7,100,100.09,98.02,66.67,899.2
1/16/2022,2,59.73,50.94,8.79,468.37,99.88,0.16,97.75,0.79,100,100.14,97.91,66.67,833.96
1/17/2022,2,68.89,60.24,8.65,739.67,99.91,0.19,97.89,0.78,100,100.16,96.2,0,839.23
1/18/2022,2,70.33,62.13,8.2,722.07,99.87,0.16,97.71,0.73,100,100.14,97.87,66.67,911.4
1/19/2022,2,64.41,55.81,8.6,691.81,99.9,0.12,97.13,0.75,100,100.12,96.84,66.67,806.83
1/20/2022,2,59.64,51.79,7.85,703.48,99.9,0.2,97.46,0.65,100,100.12,96.5,66.67,810.18
1/21/2022,2,53.18,46.29,6.89,698.56,99.92,0.12,98.04,0.66,100,100.11,96.85,100,745.49
1/22/2022,2,48.36,41.04,7.32,579.22,99.87,0.14,97.72,0.67,100,100.12,96.62,66.67,660.85
1/23/2022,2,56.29,48.34,7.95,463,99.9,0.13,98.01,0.72,100,100.1,97.61,66.67,856.35
1/24/2022,2,52.45,43.51,8.94,730.94,99.93,0.16,98.39,0.55,100,100.11,97.27,66.67,683
1/25/2022,2,57.39,50.07,7.32,670.43,99.96,0.13,98.08,0.61,100,100.16,96.39,66.67,781.83
1/26/2022,2,49.57,40.91,8.66,694.9,99.94,0.15,98.15,0.61,100,100.12,95.99,66.67,648.08
1/27/2022,2,53.36,45.02,8.34,670.47,99.89,0.17,98.25,0.64,100,100.11,95.06,66.67,696.23
1/28/2022,2,54.43,46.61,7.83,695.82,99.94,0.15,98.35,0.59,100,100.1,94.36,66.67,649.08
1/29/2022,2,52.28,44.94,7.34,586.69,99.94,0.13,97.28,0.7,100,100.09,97.31,66.67,718.45
1/30/2022,2,53.69,44.25,9.44,485.63,99.91,0.14,97.16,0.81,100,100.09,97.2,66.67,675.53
1/31/2022,2,62.19,53.88,8.3,752.38,99.89,0.1,97.76,0.8,100,100.14,95.31,66.67,713.35
1/2/2022,2,67.25,55.86,11.4,740.37,99.9,0.13,97.93,0.64,100,100.14,96.3,66.67,676.78
2/2/2022,2,65.2,54.65,10.55,757.85,99.78,0.15,98.05,0.69,100,100.16,97.71,66.67,757.25
3/2/2022,2,65.79,55.59,10.19,717.86,99.91,0.1,97.66,0.69,100,100.07,97.52,66.67,767.49
4/2/2022,2,70.28,60.92,9.36,698.76,99.89,0.16,97.89,0.72,100,100.11,97.65,66.67,776.43
5/2/2022,2,59.33,50.84,8.48,593.3,99.93,0.06,98.27,0.68,100,100.11,98.11,100,837.28
6/2/2022,2,74.74,62.7,12.05,504.34,99.9,0.17,97.97,0.74,100,100.16,96.31,66.67,803.09
7/2/2022,2,61.33,49.79,11.53,777.08,99.93,0.14,98.49,0.65,100,100.09,97.15,66.67,619.58
8/2/2022,2,58.19,50.38,7.81,745.25,99.95,0.14,98.19,0.62,100,100.09,96.75,66.67,705.93
9/2/2022,2,62.41,52.53,9.88,728.1,99.91,0.13,98.19,0.62,100,100.11,96.84,66.67,735.35
10/2/2022,2,64.73,56.75,7.98,751.24,99.93,0.1,97.92,0.6,100,100.12,96.47,66.67,756.41
11/2/2022,2,53.92,45.86,8.06,697.91,99.94,0.14,97.91,0.55,100,100.11,96.09,66.67,663.8
12/2/2022,2,61.79,51.05,10.73,622.5,99.95,0.12,98,0.68,100,100.11,96.34,66.67,664.17
2/13/2022,2,74.97,62.26,12.71,521.16,99.94,0.14,98.05,0.64,100,100.09,96.49,66.67,818.29
2/14/2022,2,82.72,66.58,16.15,747.23,99.91,0.17,98.33,0.62,100,100.12,96.46,66.67,782.61
2/15/2022,2,72.28,61.71,10.57,747.37,99.94,0.15,98.18,0.54,100,100.11,97.12,66.67,775.57
2/16/2022,2,77.47,66.44,11.03,758.72,99.93,0.17,97.53,0.55,100,100.1,95.97,66.67,824.77
