Date,RBS Id,TRAFFIC PS(DL+UL)(Gbits),HSDPA Data Volume,HSUPA Data Volume,Cell Traffic Volume DL Speech (Erlang),CS CSSR,CS DROP Rate,PS Call Setup SR,PS DROP Rate 2,Availability,Soft Handover,Irat CS Handover SR,IRAT PS 2,throughput
6/2/2022,0,84.06,73.04,11.02,106.76,99.01,1.13,94.87,3.27,100,97.86,95.22,50,690.16
7/2/2022,0,58.73,51.34,7.39,127.35,99.65,0.89,96.19,2.4,100,99.51,95.9,100,705.72
8/2/2022,0,65.43,56.18,9.25,175.94,99.56,0.82,95.95,1.22,100,99.85,97,50,727.59
9/2/2022,0,74.31,64.62,9.69,172.71,99.63,0.69,95.96,1.38,100,99.7,97.24,50,777.27
10/2/2022,0,79.22,69.52,9.71,170.49,99.77,0.83,96.12,1.22,100,99.77,95.83,50,817.07
11/2/2022,0,78.51,68.37,10.14,163.54,99.58,0.59,95.94,1.28,100,99.9,95.73,75,767.49
12/2/2022,0,75.24,65.71,9.53,118.56,99.56,0.86,95.11,1.95,100,99.74,97.59,50,751.83
2/13/2022,0,53.14,46.05,7.09,84.91,99.42,1.35,95.42,2.75,100,99.66,96.57,100,625.49
2/14/2022,0,86.24,75.42,10.83,172.4,99.71,0.79,95.55,1.33,100,99.78,94.05,50,837.68
2/15/2022,0,93.85,82.33,11.52,171.11,99.32,0.99,96.01,1.56,100,99.47,96.34,25,702.54
2/16/2022,0,83.25,71.65,11.6,169.35,99.6,0.98,95.91,1.41,99.74,99.64,95.67,66.67,721.43
2/17/2022,0,83.16,72.93,10.23,159.07,99.57,0.75,96.17,1.17,100,99.88,96.67,100,866.91
2/18/2022,0,79.33,68.77,10.56,171.51,99.43,0.94,95.99,1.19,100,99.73,95.48,100,679.09
2/19/2022,0,69.77,61.6,8.17,113.51,99.43,0.85,95.35,2.11,100,98.7,95.23,100,728.53
2/20/2022,0,66.96,58.57,8.38,97.48,98.98,0.96,95.06,2.82,100,99.01,94.59,50,637.54
2/21/2022,0,87.18,76.67,10.5,166.36,99.53,0.64,95.65,1.41,100,99.34,95.89,100,864.95
2/22/2022,0,84.74,73.9,10.83,143.74,99.56,0.51,95.21,1.24,100,99.76,97.44,66.67,819.46
2/23/2022,0,78.17,67.42,10.75,147.97,99.43,0.69,95.26,1.28,100,99.48,95.56,66.67,717.49
2/24/2022,0,70.07,59.93,10.15,155.09,99.63,0.67,96.15,1.35,100,99.77,94.3,66.67,704.3
2/25/2022,0,86.79,75.15,11.64,154.23,99.6,0.7,95.95,1.33,100,99.65,97.36,0,817.82
2/26/2022,0,68.71,61.17,7.54,103.14,99.25,0.92,95.05,2.27,100,99.61,95.99,100,758.27
2/27/2022,0,59.62,52.32,7.3,78.95,99.38,1.01,95.4,2.22,100,99.56,95.11,0,624.74
2/28/2022,0,81.9,71.24,10.66,151.37,99.54,0.61,95.47,1.6,100,99.59,96.87,50,697.32
