Date,RBS Id,TRAFFIC PS(DL+UL)(Gbits),HSDPA Data Volume,HSUPA Data Volume,Cell Traffic Volume DL Speech (Erlang),CS CSSR,CS DROP Rate,PS Call Setup SR,PS DROP Rate 2,Availability,Soft Handover,Irat CS Handover SR,IRAT PS 2,throughput
1/20/2022,1,113.7,100.01,13.69,653.45,99.91,0.09,97.88,0.61,100,100.13,95.7,66.67,834.28
1/21/2022,1,88.8,78.45,10.35,645.97,99.9,0.13,98.58,0.58,100,100.14,94.79,66.67,785.46
1/22/2022,1,89.89,77.94,11.95,505.51,99.94,0.18,98.51,0.66,100,100.17,97.68,66.67,721.78
1/23/2022,1,117.53,101.04,16.49,389.38,99.88,0.16,98.65,0.61,100,100.09,95.5,66.67,890.66
1/24/2022,1,81.69,72.1,9.59,643.65,99.92,0.12,98.47,0.51,100,100.11,96.18,66.67,749.08
1/25/2022,1,74.11,64.73,9.38,635.01,99.92,0.1,98.42,0.49,100,100.11,94.1,66.67,695.94
1/26/2022,1,82.38,71.86,10.52,598.01,99.92,0.17,98.15,0.5,100,100.1,95.89,66.67,714.59
1/27/2022,1,65.67,57.03,8.64,645.04,99.92,0.13,98.4,0.5,100,100.13,92.73,66.67,679.59
1/28/2022,1,78.41,69.55,8.85,602.28,99.9,0.14,98.34,0.5,100,100.08,95.92,66.67,766.68
1/29/2022,1,85.75,74.15,11.6,501.82,99.92,0.13,98.26,0.53,100,100.12,95.3,66.67,730.59
1/30/2022,1,73.23,64.69,8.55,373.73,99.92,0.22,98.46,0.62,100,100.12,93.93,66.67,757.41
1/31/2022,1,72.84,62.38,10.46,651.92,99.93,0.12,98.54,0.57,100,100.14,96.09,66.67,722.7
1/2/2022,1,101.26,89.18,12.09,630.16,99.91,0.13,98.62,0.59,100,100.13,97.03,66.67,916.8
2/2/2022,1,98.22,88.1,10.12,601.61,99.63,0.16,98.08,0.56,100,100.1,95.45,66.67,870.45
3/2/2022,1,93.99,84.04,9.95,620.07,99.92,0.12,98.33,0.5,100,100.14,95.96,66.67,899.8
4/2/2022,1,99.81,88.58,11.24,599.77,99.91,0.19,98.21,0.52,100,100.16,95.25,66.67,911.63
5/2/2022,1,122.51,103.25,19.25,475.64,99.93,0.15,97.94,0.49,100,100.15,94.56,66.67,988.94
6/2/2022,1,89.97,77.77,12.19,371.53,99.87,0.2,98.25,0.72,100,100.41,96.86,66.67,850.71
7/2/2022,1,80.91,71.56,9.35,647.87,99.9,0.13,98.33,0.51,100,100.11,92.91,66.67,838.59
8/2/2022,1,90.8,81.27,9.52,641.26,99.91,0.15,98.15,0.44,100,100.13,94.52,66.67,951.03
9/2/2022,1,97.73,85.66,12.06,638.24,99.92,0.09,98.57,0.42,100,100.09,94.44,66.67,997.53
10/2/2022,1,104.37,92,12.37,650.81,99.91,0.14,98.72,0.43,100,100.12,95.28,66.67,935.17
11/2/2022,1,110.33,97.95,12.38,587.17,99.91,0.1,98.28,0.48,100,100.1,97.15,66.67,986.7
12/2/2022,1,100.92,87.58,13.33,470.26,99.9,0.11,98.58,0.49,100,100.14,97.07,66.67,960.21
2/13/2022,1,90.96,79,11.96,384.14,99.88,0.19,98.69,0.59,100,100.11,92.67,66.67,969.43
2/14/2022,1,95.76,82.11,13.65,654.68,99.93,0.09,98.19,0.6,100,100.13,95.83,100,950.21
2/15/2022,1,105.43,91.07,14.36,646.74,99.9,0.11,98.55,0.58,100,100.09,94.91,66.67,985.58
2/16/2022,1,117.81,104.83,12.98,663.71,99.91,0.13,98.64,0.46,100,100.09,95.84,66.67,1126.59
2/17/2022,1,101.96,89.24,12.72,632.19,99.91,0.22,98.51,0.47,100,100.13,93.97,66.67,895.97
2/18/2022,1,104.93,90.94,13.99,639.25,99.91,0.15,98.37,0.52,100,100.17,96.26,66.67,874.59
2/19/2022,1,102.77,87.89,14.88,538.18,99.86,0.16,98.47,0.66,100,100.08,95.65,66.67,819.71
2/20/2022,1,90.06,76.44,13.62,439.59,99.86,0.11,97.96,0.66,100,100.05,95.42,66.67,882.69
2/21/2022,1,87.51,75.29,12.22,706.43,99.91,0.12,98.16,0.45,100,100.16,97.83,66.67,816.92
2/22/2022,1,81.84,69.09,12.75,666.91,99.89,0.13,98.59,0.56,100,100.08,97.57,66.67,679.49
2/23/2022,1,81.34,71.42,9.92,699.09,99.92,0.17,98.23,0.51,100,100.11,96.32,66.67,818.59
2/24/2022,1,102.59,91.35,11.25,669.9,99.91,0.14,98.28,0.54,100,100.14,95.67,66.67,945.75
2/25/2022,1,86.95,76.01,10.94,653.45,99.88,0.13,98.45,0.5,100,100.05,94.43,66.67,832.84
2/26/2022,1,89.1,77.12,11.98,532.99,99.94,0.16,98.07,0.62,100,100.08,94.52,66.67,882.63
2/27/2022,1,93.7,82.39,11.31,399,99.84,0.23,98.06,0.7,100,100.06,96.94,66.67,915.64
2/28/2022,1,102.63,90.64,11.98,648.42,99.88,0.14,98.17,0.61,100,100.06,96.7,66.67,955.42
