Date,RBS Id,TRAFFIC PS(DL+UL)(Gbits),HSDPA Data Volume,HSUPA Data Volume,Cell Traffic Volume DL Speech (Erlang),CS CSSR,CS DROP Rate,PS Call Setup SR,PS DROP Rate 2,Availability,Soft Handover,Irat CS Handover SR,IRAT PS 2,throughput
12/16/2021,1,69.49,61.8,7.69,705.34,99.88,0.16,98.54,0.49,100,100.1,96.21,66.67,755.79
12/17/2021,1,77.91,69.43,8.49,477.31,99.96,0.24,98.74,0.45,100,100.1,92.33,66.67,755.79
12/18/2021,1,97.85,88.11,9.74,438.44,99.9,0.18,98.12,0.53,100,100.16,94.61,66.67,755.79
12/19/2021,1,67.83,59.45,8.38,381.86,99.89,0.22,98.11,0.5,100,100.1,96.02,66.67,755.79
12/20/2021,1,83.54,72.18,11.36,652.71,99.9,0.21,98.34,0.51,100,100.11,95.46,66.67,755.79
12/21/2021,1,78.93,68.54,10.39,619.32,99.89,0.15,98.43,0.4,100,100.15,94.39,66.67,741.51
12/22/2021,1,73.73,62.16,11.58,611.03,99.86,0.18,98.28,0.53,100,100.07,96.09,66.67,656.82
12/23/2021,1,79.75,68.18,11.58,612.73,99.93,0.18,98.2,0.47,100,100.09,91.78,66.67,722.79
12/24/2021,1,90.21,78.81,11.4,600.09,99.88,0.19,98.32,0.58,100,100.11,96.53,66.67,718.26
12/25/2021,1,75.24,65.14,10.1,471.95,99.87,0.18,98.33,0.51,100,100.12,97.64,66.67,703.05
12/26/2021,1,68.38,61.09,7.29,387.18,99.86,0.19,98.31,0.6,100,100.11,93.96,66.67,762.17
12/27/2021,1,88.06,75.68,12.38,645.99,99.91,0.13,98.21,0.48,100,100.08,95.88,66.67,706.29
12/28/2021,1,80.02,69.11,10.91,640.47,99.89,0.15,98.48,0.48,100,100.1,95.21,66.67,704.97
12/29/2021,1,90.63,78.73,11.9,630.62,99.92,0.11,98.19,0.42,100,100.06,94.95,66.67,797.21
12/30/2021,1,88.5,76.97,11.53,581.99,99.95,0.15,98.44,0.44,100,100.11,92.57,66.67,725.14
12/31/2021,1,61.59,52.41,9.18,530.85,99.88,0.16,98.35,0.5,100,100.19,95.54,66.67,631.64
1/1/2022,1,81.89,72.68,9.21,406.57,99.88,0.18,98.43,0.56,100,100.12,87.64,66.67,926.95
2/1/2022,1,91.29,80.73,10.56,422.81,99.88,0.2,98.58,0.46,100,100.11,93.86,66.67,971.74
3/1/2022,1,88.8,79.21,9.59,617.17,99.91,0.09,98.63,0.44,100,100.12,95.86,66.67,881.89
4/1/2022,1,85.5,76.41,9.09,644.77,99.91,0.2,98.69,0.43,100,100.14,92.84,66.67,894.25
5/1/2022,1,92.01,81.54,10.48,655.66,99.91,0.13,98.79,0.38,100,100.1,95.94,66.67,852.01
6/1/2022,1,95.61,84.4,11.21,652.81,99.89,0.07,98.82,0.45,100,100.17,96.54,66.67,818.2
7/1/2022,1,102.32,89.99,12.33,638.86,99.91,0.15,98.33,0.46,100,100.12,95.64,66.67,852.86
8/1/2022,1,98.15,86.8,11.35,501.83,99.85,0.16,98.43,0.53,100,100.06,96.12,66.67,976.5
9/1/2022,1,82.42,71.57,10.85,393.88,99.87,0.21,98.16,0.61,100,102.17,95.42,66.67,848.67
10/1/2022,1,115.7,99.72,15.98,593.22,99.61,0.17,98.09,0.53,100,100.13,96.4,66.67,846.27
11/1/2022,1,96.4,84.86,11.54,649.76,99.9,0.18,98.55,0.44,100,100.09,95.87,66.67,897.38
12/1/2022,1,97.16,85.52,11.64,609.82,99.91,0.15,98.38,0.48,100,100.13,94.19,66.67,849.59
1/13/2022,1,100.47,90.36,10.1,640.7,99.88,0.14,98.2,0.63,100,100.11,96.76,66.67,861.5
1/14/2022,1,89.61,79.74,9.88,595.09,99.96,0.14,98.35,0.54,100,100.1,96.88,66.67,894.09
1/15/2022,1,89.77,80.2,9.57,474.65,99.9,0.14,97.69,0.74,100,100.14,95.45,66.67,844.52
1/16/2022,1,88.22,78.74,9.47,378.45,99.83,0.18,97.81,0.7,100,100.06,94.85,66.67,804.15
1/17/2022,1,91.38,80.34,11.05,685.49,99.91,0.16,98.23,0.57,100,100.08,95.52,66.67,836
1/18/2022,1,85.52,74.65,10.87,671.76,99.85,0.22,98.11,0.54,100,100.08,95.61,66.67,820.53
1/19/2022,1,91.45,81.53,9.92,682.25,99.91,0.14,98.32,0.47,100,100.1,96.49,66.67,879.65
